Title,Type,Standard Classification,Bureaus,Bus Capability,Bus Priority,Description (Derived HTML),App Support Model,Cloud Service type,App hosting environment,Related App,Business Owner,Product Owner,Support Owner,Public,Displayed In
TDAT Import,Application,Bureau Standard,PBOT,"Geospatial Analytics, Mapping / Geospatial",,"<p>TDAT Import is an ArcMap application that allows the user to import traffic count data in PBOT's database, and edit counts already in the database. </p><h2>Publisher</h2><p>City of Portland</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
TDAT Query,Application,Bureau Standard,PBOT,"Geospatial Analytics, Mapping / Geospatial",,"<p>TDAT Query is an ArcMap add-in application that allows the user to query PBOT's traffic count database, display the locations of counts on a map, and to report and export the data in various formats. </p><h2>Publisher</h2><p>City of Portland</p>",Bureau / Vendor Support,,On Premise,,,,,yes,Technology Services
Terrain Navigator Pro,Application,Bureau Standard,PBEM,"Geospatial Analytics, Mapping / Geospatial",,<p> mapping platform combining built-in topographic maps and aerial photos with easy-to-use mapping tools.</p>,Bureau / Vendor Support,SaaS,Hybrid,,,,,yes,Technology Services
Tickler Card,Application,Bureau Standard,PBOT,"Knowledge Management, Knowledge Distribution / Delivery",,"<p>Creates reminder records, reports, and reference information.</p>",Bureau / Vendor Support,,On Premise,,,,,Yes,Technology Services
TikiWiki,Application,Bureau Standard,citywide,"Knowledge Management, Knowledge Capture",,<p>TikiWiki is a web application that combines features of a wiki content management solution. </p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,yes,Technology Services
Toad for Oracle,Application,City Standard,citywide,"Support Delivery of Services, System and Network Monitoring",,<p>oad for Oracle is a comprehensive database tool for development and administration that enables you to perform daily tasks efficiently and accurately</p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,mike.lamb@portlandoregon.gov,yes,Technology Services
Apache Tomcat,Application,City Standard,Citywide,"Support Delivery of Services, Provide and Maintain IT Infrastructure",,"<p>Apache Tomcat (called ""Tomcat"" for short) is an open-source implementation of the Jakarta Servlet, Jakarta Expression Language, and WebSocket technologies. It provides a ""pure Java"" HTTP web server environment in which Java code can also run. Thus it's a Java web application server, although not a full JEE application server.</p><h2>Publisher</h2><p>Apache Software Foundation</p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,yes,Technology Services
TortoiseSVN,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>TortoiseSVN is an Apache Subversion (SVN) client, implemented as a Windows shell extension. It's intuitive and easy to use, since it doesn't require the Subversion command line client to run</p><h2>Publisher</h2><p>TortoiseSVN Team</p>",Full Support,,On Premise,,,rick.schulte@portlandoregon.gov,rick.schulte@portlandoregon.gov,yes,Technology Services
TraxPro,Application,Bureau Standard,PBOT,"Ground Transportation, Ground Transportation",,<p>Downloads and analyzes data collected by automatic traffic recorders. ++ TRAXPro HAS BEEN REPLACEDD BY STARnext ++???</p><h2>Publisher</h2><p>Jamar Technologies Inc</p>,Bureau / Vendor Support,,,,,,,yes,Technology Services
TripWire,Application,Bureau Standard,BTS,"Cyber Security Management, Continuous Monitoring",,"<p>Helps enterprises you reduce risk with sophisticated security monitoring and change detection. Detect threats, identify vulnerabilities, and harden configurations in real time.</p><h2>Publisher</h2><p>Tripwire</p>",Bureau / Vendor Support,,On Premise,,,christopher.paidhrin@portlandoregon.gov,christopher.paidhrin@portlandoregon.gov,No,Technology Services
Hitachi Tuning Manager,Application,Bureau Standard,BTS,"Support Delivery of Services, IT System Development and Integration Support",,<p>Operational Support Tools - Monitoring</p><h2>Publisher</h2><p>Hitachi Data Systems Corporation</p>,Bureau / Vendor Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Carolyn.Glass@portlandoregon.gov,Yes,Technology Services
Cisco Umbrella Cloud Service,Application,Bureau Standard,BTS,"Cyber Security Management, Continuous Monitoring",,<p>Cisco Umbrella uses the Internet's infrastructure to enforce security and block malicious activity before a connection is ever established.</p><h2>Publisher</h2><p>Cisco</p>,Bureau / Vendor Support,,On Premise,,,christopher.paidhrin@portlandoregon.gov,,No,Technology Services
Utility Permits,Application,Bureau Standard,PBOT,"Other Government, Permits and Licensing",,<p>Issues and tracks permits issued to utility companies for work done in the right-of-way.</p>,Bureau / Vendor Support,,,,,,,Yes,Technology Services
vCAD,Application,City Standard,"Auditor,BOEC,BTS,PBEM,PBOT,PF&R","Disaster Management, Emergency Response",,"<p>Computer-aided dispatch (CAD) and records management systems for police, fire, and other public safety agencies.</p><h2>Publisher</h2><p>Versaterm</p>",Bureau / Vendor Support,,,,,Murrell.Morley@portlandoregon.gov,Murrell.Morley@portlandoregon.gov,Yes,Technology Services
Vegas,Application,Bureau Standard,PPB,"Information Sharing, Information Exchange and Transformation",,<p>Graphic Design Software - Graphic Design</p>,Full Support,,On Premise,,,,,Yes,Technology Services
AXIS Video Motion Detection,Application,Bureau Standard,PBOT,"Cyber Security Management, Continuous Monitoring",,<p>Vendor supplied motion detection software used by PBOT.</p>,Bureau / Vendor Support,,,,,,,Yes,Technology Services
VLC,Application,Allowed,Citywide,"Support Delivery of Services, Content Management",,<p>Cross-platform media player.</p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Windows Built-in CD/DVD Creator,Application,City Standard,CityWide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Native application software, which is aimed at directly performing tasks that support and enhance programs and the data on a computer</p><h2>Publisher</h2><p>Microsoft Corp</p>",Full Support,,On Premise,Windows Native Utilities,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Windows Firewall,Application,City Standard,CityWide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Native application software, which is aimed at directly performing tasks that support and enhance programs and the data on a computer</p><h2>Publisher</h2><p>Microsoft Corp</p>",Full Support,,On Premise,Windows Native Utilities,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Windows Installer,Application,City Standard,CityWide,"Support Delivery of Services, IT System Development and Integration Support",,"<p>Native utility used for the installation, maintenance, and removal of software</p><h2>Publisher</h2><p>Microsoft Corp</p>",Full Support,,On Premise,Windows Native Utilities,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Windows Zip utility,Application,City Standard,CityWide,"Support Delivery of Services, IT System Development and Integration Support",,<p>Native utility used to Zip (compressed) files take up less storage space.</p><h2>Publisher</h2><p>Microsoft Corp</p>,Full Support,,On Premise,Windows Native Utilities,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
WinZip,Application,Exception Request Required,"BRFS,BTS,PP&R","Information Sharing, Collaboration Tools",,<p>WinZip is a file compression and archiver tool that creates zip file formats.</p><h2>Publisher</h2><p>Corel</p>,User Support,,,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
XML Notepad,Application,City Standard,Citywide,"Support Delivery of Services, IT System Development and Integration Support",,<p>XML Notepad provides a simple intuitive User Interface for browsing and editing XML documents</p><h2>Publisher</h2><p>Microsoft Corp</p>,Full Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
XnView,Application,Allowed,Citywide,"Support Delivery of Services, Document Management and Workflow",,"<p>XnView is an image organizer and general-purpose file manager used for viewing, converting, organizing and editing raster images, as well as general purpose file management</p><h2>Publisher</h2><p>Gougelet Pierre-e</p>",Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Zello,Application,Bureau Standard,PBEM,"Communications, Voice Communication",,<p>Zello is a mobile application that provides push-to-talk walkie-talkie capabilities over cell phone networks.</p><h2>Publisher</h2><p>Zello Inc</p>,,,Hybrid,,,,,Yes,Technology Services
ZenDesk,Application,Exception Request Required,"BTS,BOEC,PBOT","Support Delivery of Services, Customer Service",,"<p>ZenDesk is a SaaS customer service software providing helpdesk, customer support, sales an other customer communications.</p><h2>Publisher</h2><p>ZenDesk</p>",Bureau / Vendor Support,SaaS,Cloud,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
Zone Tracker,Application,Bureau Standard,PBOT,"Ground Transportation, Parking",,"<p>Zone Tracker is a global navigation satellite system (GNSS) module that allows the transmission of position, speed via its USB port.</p>",Bureau / Vendor Support,,,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
RingCentral Meetings,Application,Exception Request Required,"C1 Rubio,Auditor,BDS,BES,BHR,BOEC,BPS,BRFS,BTS,CAO,Mayor,OCCL,OCT,OEHR,OGR,PBEM,PBOT,PF&R,PHB,PP&R,PWB","Communications, Audio and Video Conferencing",,<p>RingCentral is a cloud-based communications and collaboration solutions </p>,Bureau / Vendor Support,SaaS,Cloud,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
ZVRS,Application,City Standard,Citywide,"Assistive Technology Services, Hearing Support",,<p>Miscellaneous Tools - Video Relay Service</p><h2>ADA</h2><p>Yes</p>,Limited Support,,On Premise,,,Carolyn.Glass@portlandoregon.gov,Bryan.Pirrello@portlandoregon.gov,Yes,Technology Services
RSA Secure ID,,City Standard,citywide,"Cyber Security Management, Identification and Authorization",,"<p>Two-factor, public-key encryption authentication technology that is used to protect network resources.</p>",Full Support,,On Premise,,,,,Yes,Technology Services
